Titulo,Enlace,Resumen,Temas,Idioma,Title,URL,Summary,Tags,Language
Instituto de Enseñanza o Barra de Baile?  El Uso de La Legislación Sobre La Libertad de Información en Argentina ,http://www.freedominfo.org/2005/04/case-study-teaching-institute-or-dance-bar/,"El autor explica su prueba con someter una queja contra un bar ruidoso al otro lado de la calle de su residencia en Buenos Aires. Nada paso. Después, una investigación sobre la licencia de explotación del bar fue presentado abajo la ley del acceso a la información de 1998. La ciudad dijo que el bar era “un instituto de enseñanza, un instituto técnico [o] una academia.” Unos días después de la respuesta de la ciudad, se inició un incendio en otro club de baile, República Cromañón, matando 193 personas. Aprovechando la oportunidad para reforma, el compañero del autor escribió a Clarín. Su carta al editor destaca las implicaciones de seguridad pública de la corrupción y apoya los esfuerzos democráticos para involucrarse en regular la verificación de licencia. La atención mediática subsiguiente provocó la represión de los bares y las regulaciones por el gobierno de la ciudad, pero la historia es un testimonio como las leyes sobre la libertad de información puede ayudar el gobierno ser más efectivo a través de la participación ciudadana.  ","Seguridad Pública, Paticipación Ciudadana, Anticorrupción",Inglés,Teaching institute or dance bar? Putting local freedom of information legislation to use in Argentina,http://www.freedominfo.org/2005/04/case-study-teaching-institute-or-dance-bar/,"In this article, the author explains her ordeal with filing a complaint against a noisy bar across the street from her residence in Buenos Aires. Nothing happened. Next, an inquiry to the bar's operating license was filed under the city's 1998 acces to information law. The city said the bar was a ""teaching institute, techinal institute [or] academy."" Just days after the city's reply, a fire broke out in a different dance club, República Cromañón, killing 193 people. Seizing the opportunity for reform, the author's partner wrote to the Clarin, a widely-read daily publication. His letter to the editor highlighted the public safety implications of corruption and championed democratic efforts to get involved in regulating license verification. The ensuing media attention promped the city government to crack down on bars and safety regulations, but the story stands as a testament to how freedom of information laws can actually help government be more effective through citizen engagement.","Public Safety, Citizen Engagement, Anti-Corruption",English
La Campaña de La Libertad de Información en Argentina,http://www.freedominfo.org/wp-content/uploads/documents/farmelo.pdf,"Este artículo se enfoca principalmente en la historia y el proceso de aprobar leyes nacionales. Sin embargo, algunas anécdotas sobre solicitudes de información y su importancia también están incluidas. La primera relata una situación en cual un hospital público cesó de entregar medicina a pacientes de trasplante por razones inexplicadas. Para averiguar, los pacientes usaron las leyes de la libertad de información de la ciudad para demandar un explicación del hospital. Varias solicitudes salieron con evidencia que el hospital tenía capital bajo, dando la información necesaria a los pacientes para obtener su medicina a medias del sistema jurídico. La segunda era una historia de la periodista Sandra Crucianelli, quien estaba involucrada en una solicitud de información en la ciudad de Bahía Blanca sobre la calidad de agua, usando la ley de libertad de información provincial de Buenos Aires (más suave que la de la ciudad). La solicitud fue rechazada como la información era considerada potencialmente perniciosas a empresas locales, que eran sospechadas de contaminar el agua. La tercera era a cerca uno de los grupos ecologistas principales en el país, Fundación Ambiente y Recursos Naturales (FARN), que representan un residente del capital preocupado de la construcción de una reserva de lluvia en su barrio. Abajo la ley 104, él mismo podría ver los reportajes sobre el impacto ambiental del proyecto del gobierno municipal, facultando a aprender sobre los impactos a su casa.","Salud Pública, Anticorrupción",Inglés,The freedom of information campaign in Argentina,http://www.freedominfo.org/wp-content/uploads/documents/farmelo.pdf,"This article mostly focuses on the history and process of passing national laws. However, some anecdotes on information requests and why they are important are included. The first describes a situation in which a public hospital stopped giving medicine to transplant patients for unexplained reasons. To find out why, patients used the city's FOI law to demand an explanation from the hospital. Multiple requests surfaced evidence that the hospital was low on funds, giving the patients the necessary information to obtain their medicine through the legal system. The second is the story of journalist Sandra Crucianelli, who was involved with an information request to the city of Bahia Blanca regarding water quality, using the Buenos Aires province's FOI law (weaker than the city's). The request was turned down as the information was perceived as potentially harmful to the reputation of local companies, who were suspected of contaminating the supply. The third is about one of the country's leading environmental groups, Fundación Ambiente y Recursos Naturales (Environment and Natural Resources Foundation, FARN), who represented a Buenos Aires city resident concerned about the construction of a rainfall reservoir in his neighborhood. Under Law 104, he was able to see environmental impact reports on the project from the city government for himself, empowering him to learn about its effects on his home.","Public Health,  Anti-Corruption",English
Pocos datos sobre Aerolíneas Argentinas,http://chequeado.com/el-explicador/pocos-datos-sobre-aerolineas-argentinas/,"Una empresa estatal y un receptor de dinero estatal, Aerolíneas Argentina (AA) no ofrece un resumen sobre el equilibrio financiero en su sitio. Cuando Chequeado, un sitio argentino de comprobación de los hechos, hizo una solicitud por esa información, fue rechazado. La respuesta de AA era que aunque la información supuestamente era pública, no será publicada. Como resultado, todavía no sabemos donde va el dinero estatal de AA o cuanto es. Tal vez, las finanzas del año anterior, 2010, no están listas, pero los de 2009 también están inaccesibles. Aunque algunos citan la transición y el estado ambiguo de AA como una excusa, AA ha sido administrado por el estado desde 2008. Además, varias empresas en todo el mundo proporcionan esta información en sitios. Esta información es importante para ciudadanos que financian la empresa a medias sus impuestos. Entonces, ellos tienen el derecho a saber cómo el dinero está usado, especialmente en el caso de negocios subsidiados públicamente.","Anticorrupción, Finanzas y Economía, Empresas Públicas",Español,Little data exists on Argentina's state-funded airline,http://chequeado.com/el-explicador/pocos-datos-sobre-aerolineas-argentinas/,"A state entreprise and recipient of state money, Aerolineas Argentina (AA) does not publically provide a summary of financial balances on their website. When Chequeado, an Argentine website for fact-checking, called in a request for that information, they were turned away. AA's answer was that although the info was supposed to be public, it could not be provided at the time. As a result, we still do not know where state money to AA went, or how much. Perhaps it could be understandable that finances from the previous year, 2010, may have not been ready yet, but even those from the year before that were inaccessible. Although some may point to AA's transition and ambiguous status as an excuse, AA has been managed by the state since 2008. Furthermore, many public/state and private companies around the world do provide this information on websites. This information is important to citizens who finance the company through their taxes — as such, they have the right to know how their money is being used, especially in the case of publically subsidized businesses.","Anti-Corruption, Finance and Economy, State Enterprise",Spanish
Las respuestas a los pedidos de acceso por la base china en Neuquén,"http://chequeado.com/hilando-fino/las-respuestas-a-los-pedidos-de-acceso-por-la-base-china-en-neuquen/, http://chequeado.com/el-explicador/cinco-puntos-para-entender-la-estacion-espacial-china-en-neuquen/","En 2012, China firmó dos acuerdos de cooperación con Argentina – una con Comisión Nacional de Actividades Espaciales (CONAE) y otra con la provincia de Neuquén – por la construcción de una estación espacial para “apoyar actividades tales como la exploración interplanetaria, la observación astronómica, el seguimiento y control de satélites en órbita y la adquisición de datos.” El acuerdo estipula que el arrendamiento y el uso de China sobre esta estación espacial será por 50 año en cambio para el acceso limitado de CONAE. El Senado dio una aprobación preliminar al proyecto de ley que apoyó el proyecto espacial, que será finalizado en 2016. Chequeado pidió acceso a este acuerdo al Ministerio de Relaciones Exteriores y Culto. Porque hay críticas y sospechas sobre la razón por la estación espacial, posiblemente en relación a uso militar, esta información se juzgó importante al interés público. En órdenes del Ministerio de Relaciones Exteriores y Culto, CONAE respondió con publicar la copia del acuerdo, completa con con todas clausulas y todos anexos, aquí: http://www.scribd.com/doc/256407065/Acuerdo-Argentina-China. Según este documento, no hay cláusulas en relación a usos ambiguos de la estación.",Seguridad Nacional,Español,Answers to requests for access to information on the Chinese base in Neuquén,"http://chequeado.com/hilando-fino/las-respuestas-a-los-pedidos-de-acceso-por-la-base-china-en-neuquen/, http://chequeado.com/el-explicador/cinco-puntos-para-entender-la-estacion-espacial-china-en-neuquen/","In 2012, China signed two cooperative agreements with Argentina — one with Argentina's National Space Activities Commission (CONAE) and one with the province of Neuquén — for contruction of a satellite space station to ""support activities related to interplanetary exploration, astronomical observation, monitoring and control of satellites in orbit and data acquisition."" The agreement stipulates China's lease on and use of this station for 50 years in exchange for CONAE's lmited access to it. The Senate gave preliminary approval to a bill that supports the project, which will be finalized in 2016. Chequado asked Argentina's Ministry of Foreign Affairs and Worship for access to this agreement. Because there were criticisms and suspicions regarding the reason for the station linking it to possible military use, this information was deemed important to the public interest. On orders from the Ministry of Foreign Affairs and Worship, Argentina's National Space Activities Commission (CONAE) responded by releasing the the full copy of the agreement, complete with all clauses and annexes, here: http://www.scribd.com/doc/256407065/Acuerdo-Argentina-China. According to the document, there appear to be no clauses related to ambiguous uses of the station.",National Security,Spanish
Una empresa pública y Chevron: contrato secreto e investigación presidencial,http://chequeado.com/hilando-fino/ypf-chevron-contrato-secreto-e-investigacion-presidencial/,"La Corte Suprema ordenó una investigación sobre la firma del Presidente Kirchner de un contrato entre YPF, la empresa argentina petrolera, y Chevron a causa de las preocupaciones sobre conflictos de interés y el abuso de poder. Chequeado hizo una solicitud para acceder la información sobre el contrato bajo el Decreto 1172/03. YPF respondió con negar el acceso porque era “una empresa pública” y que “sus valores están en el mercado de capital,” poniéndolo fuera de la jurisdicción del Decreto. Sin embargo, este pretexto ha sido puesta en cuestión dado que la ley se aplica a empresas privadas que reciben fondos públicos, como YPF.","Empresas Públicas, Anticorrupción, Finanzas y Economía",Español,Public energy and Chevron: a secret contract and a presidential investigation,http://chequeado.com/hilando-fino/ypf-chevron-contrato-secreto-e-investigacion-presidencial/,"The Supreme Court ordered an investigation into President Kirchner's signing of a contract between YPF (Argentina's energy company) and Chevron given concerns over a conflict of interest and abuse of power. Chequeado made a request for access to information about the contract under Decree 1172/03. YPF answered by denying access to the information on the grounds of being a ""publically held company"" that has ""securities in the capital market,"" leaving it outside the scope of the Decree's jurisdiction. However, this argument has been called into question given that the law applies to private companies that receive public funding, as is the case of YPF.","State Enterprise, Anti-Corruption, Finance and Economy",Spanish
¿Kirchner no tiene título de abogada?,http://chequeado.com/ultimas-noticias/icfk-no-tiene-titulo-de-abogada/,"Ha habido mucha confusión acerca de la licenciatura en derecho del Presidente y si ella lo tiene o no. Chequeado ha hecho una solicitud para recibir una copia abajo el Decreto 1172/03. El 5 de diciembre de 2014, Chequeado recibió una respuesta del Secretario General de la Presidencia fechada el 25 de noviembre declarando que una copia no puede ser otorgada porque contiene “información personal” (Ley 25.326). Esta misma ley fue citada por el Ministerio de Desarrollo Social al Centro de Implementación de Políticas Públicas para la Equidad y el Crecimiento (CIPPEC) sobre la información de beneficiarios de planes sociales. Sin embargo, esa solicitud involucro información de ciudadanos privados, mientras la posición del Presidente no es cubierta por las mismas protecciones.","Funcionarios Públicos, Datos Personales y Confidencialidad",Español,Does Kirchner actually have a law degree?,http://chequeado.com/ultimas-noticias/icfk-no-tiene-titulo-de-abogada/,"There has been a lot of commotion surrounding the President’s law degree and whether she actually has one or not. Chequeado made a request to receive a copy under Decree 1172/03. On December 5, 2014, Chequeado received a response from the Secretary General of the Presidency dated November 25th stating that a copy cannot be given as it contains “personal information” (Law 25.326). This same statue was cited by the Ministry of Social Development to the Center for the Implementation of Public Policies Promoting Equity and Growth (CIPPEC) over information on beneficiaries of social plans. However, that request involved information from private citizens, whereas the position of President is not covered by the same protections.","Public Officials, Personal Information and Privacy",Spanish
Solicitudes de información para las comunicaciones entre el gabinete y el departamento de seguridad nacional,http://chequeado.com/ultimas-noticias/jorge-capitanich-jefe-de-gabinete-de-la-nacion-qen-este-telefono-no-hay-ningun-llamado-del-gobernador-jose-manuel-de-la-sotaq/,"El 20 de diciembre de 2013, Chequeado, con La Voz Interior de Córdoba, un periódico, hizo una solicitud de comunicación entre la Jefatura de Gabinete de Ministros y el Ministerio de Seguridad Interior durante las protestas en la provincia el 3-4 de diciembre para confirmar si o no el gobierno provincial solicitaron ayuda del gobierno nacional. La Voz había solicitado previamente la misma información del Ministerio provincial de la Comunicación y El Desarrollo. Les mandaron a La Voz respuestas detallando los intentos de comunicación entre los oficiales durante las protestas, ayudando los periodistas descubrir como la Ley de Seguridad Interior 24.059 – la ley que permite tales solicitudes para ayuda – fue usada entre el caos. ","Seguridad Nacional, Funcionarios Públicos",Español,Requests for official communications between the Cabinet and Homeland Security,http://chequeado.com/ultimas-noticias/jorge-capitanich-jefe-de-gabinete-de-la-nacion-qen-este-telefono-no-hay-ningun-llamado-del-gobernador-jose-manuel-de-la-sotaq/,"On December 20, 2013, Chequeado, along with La Voz Interior de Cordoba, a newspaper, made a request for communications between the Chief of the Cabinet of Ministers and the Ministry of Homeland Security during protests in the province on December 3-4 to confirm whether or not the provincial government asked for assistance from the national government. La Voz had previously requested the same information from the provincial Ministry of Communication and Development. They were sent responses detailing communication attempts between officials during the protests, helping journalists unravel how Homeland Security Act No. 24.059 — the law that allows for such requests for assistance to be made — was being used in the chaos.","National Security, Public Officials",Spanish
Haciendo los sueldos del Presidente y los Ministros públicos en menos de 24 horas,http://blogs.lanacion.com.ar/projects/data/journalism-and-access-to-information-how-we-got-the-government-to-inform-on-the-salary-of-the-president-and-here-ministers/,"Una ONG anónima pidió información sobre el Presidente y los sueldos de los funcionarios públicos. La Nación pidió una solicitud similar pidiendo solamente los sueldos más altos de los funcionarios públicos. Ambas solicitudes fueron negadas a causa de la ley argentina sobre los datos sensibles (25.326). El 20 de febrero de 2014, La Nación publicó esta correspondencia, aumentando la presión al gobierno para liberar los datos. En consecuencia, el Secretario General del Presidente publicó una lista de los 20 sueldos más altos en el gobierno argentino. (http://blogs.lanacion.com.ar/projects/files/2014/04/PlanillaSueldos2012.jpg). El próximo día, esta información se conoció como la primera página, mostrando el poder de los medios para incoar el cambio socio y acción dentro el gobierno con las herramientas correctas.  ","Funcionarios Públicos, Finanzas y Economía",Inglés,Making public the salaries of the President and ministers in less than 24 hours,http://blogs.lanacion.com.ar/projects/data/journalism-and-access-to-information-how-we-got-the-government-to-inform-on-the-salary-of-the-president-and-here-ministers/,"An unnamed NGO asked for information regarding the President and public officials' wages. La Nacion composed a similar request asking for only the highest of government workers' salaries. Both requests were denied due to Argentina's sensitive data law (25.326). On February 20, 2014, La Nacion published the records of this correspondence, piling pressure on the government to release the data. Consequently, the Secretary General of the Presidency published a list of the top 20 earners in the Argentine government (http://blogs.lanacion.com.ar/projects/files/2014/04/PlanillaSueldos2012.jpg). The next day this information became front page news, revealing the power of the media to ignite change and action in government when equipped with the right tools.","Public Officials, Finance and Economy",English
Acceso al aborto legal y a la anticoncepción: pedido de informes al Ministro de Salud de Mendoza,http://www.amnistia.org.ar/noticias-y-documentos/archivo-de-noticias/argentina-128,"Este artículo es sobre una solicitud reciente de información en nombre de varias organizaciones y Amnistía Internacional al Ministro de Salud en Mendoza. La solicitud pide el acceso a los datos sobre la contracepción, el aborto legal, y la salud total de las mujeres, los adolescentes, y los niños en toda la provincia. Las consultas sobre la salud fueron provocadas por César Mosso Gianini, asesor al gobierno de Mendoza, quien publicó unas opiniones sobre la inconstitucionalidad y la ilegalidad del aborto. El acceso a tal información puede ser útil en determinar si los funcionarios públicos están siguiendo la ley o están dejando sus opiniones personales influir sus acciones juradas.","Salud Pública, Funcionarios Públicos",Español,Access to legal abortion and contraception: information requests from the health ministry of Mendoza,http://www.amnistia.org.ar/noticias-y-documentos/archivo-de-noticias/argentina-128,"This article concerns a recent information request on behalf of numerous organizations and Amnestry International to the Minister of Health in Mendoza. It asks for data on access to contraception, legal abortion and the overall health of women, adolescents and children throughout the province. Inquiries into the matter were all prompted by César Mosso Gianini, an advisor to Mendoza's government, who published a series of opinions on the ""unconstitutionality"" and ""illegality"" of abortion. Access to such information can be helpful in determining whether public officials are following the rule of law or letting their personal opinions sway their sworn actions.","Public Health, Public Officials",Spanish
Solicitudes de información de las provincias Argentinas sobre el aceso al aborto,"http://www.adc.org.ar/2013/wp-content/uploads/2013/12/Aborto-NP-protocolos-comparados-ADC-dic2013.pdf, http://despenalizacion.org.ar/pdf/publicaciones/ADC-Acceso-al-aborto-no-punible-Marzo-2015.pdf, http://www.adc.org.ar/download.php?fileId=591","Es un artículo y unos reportajes sobre las solicitudes de información de las provincias sobre el acceso al aborto. Muchas provincias no reciben alguna respuesta del Ministerio de Salud. En octubre de 2012 y febrero en 2013, la Asociación por los Derechos Civiles (ADC) hizo solicitudes a las provincias sobre el Programa de Salud Sexual y Responsabilidad y no recibieron una respuesta. Para abril de 2013, solamente las provincias de Buenos Aires, Buenos Aires, Jujuy, Neuquén, Entre Ríos, Corrientes, Misiones, San Juan, Santa Cruz, y CABA (9 en total) respondieron. Finalmente, ADC contacto los Programas de Salud Sexual en estas provincias a través de email y teléfono entre septiembre y octubre de 2013. Las cartas enviadas de ADC a las provincias en septiembre de 2013 también no fueron reconocidas. En septiembre de 2014, ADC hizo otras solicitudes al Ministerio de Salud Pública a cada provincia – otra vez en vano. En febrero de 2015, ADC le pidió a los ministerios mismos, que respondieron que ellos recibieron una notificación judicial el mes anterior que los proveedores de salud deberían evitar impedimentos legales para completar procedimientos de aborto sin demora. Nos datos fueron recibidos de las provincias numerosas, que es en mayor detalle en el reportaje – pero el medio de las agencias sobre datos abiertos es evidente.",Salud Pública,Español,Requests for information from Argentina's provinces on access to abortion,"http://www.adc.org.ar/2013/wp-content/uploads/2013/12/Aborto-NP-protocolos-comparados-ADC-dic2013.pdf, http://despenalizacion.org.ar/pdf/publicaciones/ADC-Acceso-al-aborto-no-punible-Marzo-2015.pdf, http://www.adc.org.ar/download.php?fileId=591","This is an article and a couple of reports on requests for information from Argentina's provinces on access to abortion. Many provinces did not receive any response from their Ministry of Health. In October 2012 & February 2013, the Association for Civil Rights (ADC) made requests to the provinces regarding the Program of Sexual Health and Responsibility and did not receive a response. By April 2013, only the provinces of Buenos Aires, Jujuy, Neuquen, Entre Rios, Corrientes, Missions, San Juan, Santa Cruz, and Buenos Aires (in total 9) had responded. Finally, ADC contacted Programs on Sexual Health in those provinces through email and phone between September and October 2013. Letters sent by ADC to the provinces in September 2013 were also not acknowledged. In September 2014, ADC made another round of requests to the Ministry of Public Health of each province — once again to to no avail. In February 2015, ADC called the ministries themselves, who told them that they had received a judicial notice the previous month that health providers ought to avoid administrative impediments so as to complete abortion procedures without delay. No data was received from numerous provinces, which is further detailed in the report — but the agencies' fear of open information is quite telling.",Public Health,Spanish
¿Como el gobierno calcula el índice económico?,http://www.adc.org.ar/583_la-justicia-intimo-al-indec-a-informar-como-calcula-la-inflacion/,"El 18 de julio de 2007, Asociación por los Derechos Civiles (ADC) le pidió información al Instituto Nacional de Estadística y Censos (INDEC) sobre su metodología y variables cuando calcularon el índice de precios al consumo. ADC otra vez preguntó sobre los medios legales en el 17 de agosto de 2007, después que INDEC no respondió inicialmente. Entonces INDEC respondió con información limitada, notablemente sin las variables y sin especificar los métodos. En octubre de 2008, una corte decidió a favor de ADC y pidió INDEC de proporcionar la información solicitada. Los datos fueron disponibles públicamente en el sitio de INDEC agosto de 2009. Esta decisión de la corte representa un reconocimiento importante del derecho constitucional de cada persona al acceso de información pública en poder del estado.",Finanzas y Economía,Español,How does the government calculate economic indices?,http://www.adc.org.ar/583_la-justicia-intimo-al-indec-a-informar-como-calcula-la-inflacion/,"On July 18, 2007, the Asociación por los Derechos Civiles (ADC) asked the National Statistics and Censuses Institute (INDEC) for information regarding their methodology and variables when calculating the consumer price index. ADC asked again through legal means in August 17, 2007 after INDEC did not initially respond. INDEC then responded with limited information, notably leaving out variables and not specifying their methods. In October 2008, a court ruled in favor of ADC and asked INDEC to provide the solicited information.   The data was made publicly available on INDEC’s website August 2009. This ruling represents a significant recognition of the constitutional right of every person to have access to public information held by the state.",Finance and Economy,Spanish
"Los ONGs piden al congreso información sobre los empleados del gobierno, los presupuestos y las subvenciónes","http://www.adc.org.ar/ong-demandaron-a-la-camara-de-diputados-y-al-senado-por-no-informar-sobre-empleados-presupuesto-y-subsidios/, http://www.adc.org.ar/la-justicia-obligo-al-senado-a-dar-informacion-publica-solicitada-por-varias-ong/, http://www.lanacion.com.ar/1782249-demandan-al-congreso-por-no-brindar-informacion-publica, http://poderciudadano.org/?p=7189","En 2011, la Asociación Civil por la Igualdad y la Justicia (ACIJ), la Asociación por los Derechos Civiles (ADC), la Fundación Directorio Legislativo, y Poder Ciudadano demandaron información sobre los contratos de trabajo (a tiempo parcial o a tiempo completo), los gastos de la comunidad, y las becas y los subsidios dados los diputados del Congreso y el Senado. En agosto de 2014, ellos, con varias ONGs, otra vez demandaron esta información, indicando que la información no era disponible públicamente en sus sitios. En febrero de 2015, después de recibir ninguna respuesta, los ONGs iniciaron demandas contra el Congreso y el Senado. La Corte Administrativa dio la razón a ADC, ACIJ, Directorio Legislativo and Poder Ciudadano. El Senado tuvo 15 días para responder ahora. La otra información solicitada fue publicada en el sitio del Senado, indicando un triunfo grande para CSO que tratan de aumentar la participación pública.","Paticipación Ciudadana, Funcionarios Públicos, Finanzas y Economía",Español,"NGOs ask the house and senate for information on government employees, budgeting information and subsidies","http://www.adc.org.ar/ong-demandaron-a-la-camara-de-diputados-y-al-senado-por-no-informar-sobre-empleados-presupuesto-y-subsidios/, http://www.adc.org.ar/la-justicia-obligo-al-senado-a-dar-informacion-publica-solicitada-por-varias-ong/, http://www.lanacion.com.ar/1782249-demandan-al-congreso-por-no-brindar-informacion-publica, http://poderciudadano.org/?p=7189","In 2011, the Asociación Civil por la Igualdad y la Justicia (ACIJ), the Asociación por los Derechos Civiles (ADC), the Fundación Directorio Legislativo, and Poder Ciudadano requested information on employee contracts (part-time or full time), community expenses, and the grants and subsidies given to the Congressmen of the House and the Senate. In August 2014, they, along with several NGOs, once again requested this information, indicating that the information was not made available on their websites. In February 2015, after receiving no response, the NGOs filed two lawsuits suing the House and the Senate. The Administrative Court ruled in favor of ADC, ACIJ, Directorio Legislativo and Poder Ciudadano. The Senate has 15 days to respond now. The rest of the information requested was made public on the Senate website, signaligning a huge victory for civil society groups trying to bolster public engagement.","Citizen Engagement, Public Officials, Finance and Economy",Spanish
La justicia obliga a la dirección de datos personales a dar información sobre su funcionamiento,http://www.adc.org.ar/la-justicia-obliga-a-la-direccion-de-datos-personales-a-dar-informacion-sobre-su-funcionamiento/,"En 2013, Manuel Garrido, un diputado argentino, pidió información de la Dirección Nacional de Protección de Datos Personales (DNPDP) sobre el nombramiento del director del departamento, pero fue inicialmente negado porque se argumentó que los diputados renuncian sus derechos a tales solicitudes un vez en la oficina. La Corte Suprema dio la razón a Garrido, patrocinado por la Asociación por los Derechos Civiles (ADC). Esto solidificó el hecho que estar en ciertas posiciones de emplea no limita tu habilidad para hacer solicitaciones de información.",Funcionarios Públicos,Español,Judges mandate personal data be produced on the appointment of department director ,http://www.adc.org.ar/la-justicia-obliga-a-la-direccion-de-datos-personales-a-dar-informacion-sobre-su-funcionamiento/,"In 2013, Manuel Garrido, an Argentine deputy, requested information from the National Directorate for the Protection of Personal Data about the appointment of the department's director, but was initially denied because it was argued that deputies waived their rights to such requests once in office. The Supreme Court ruled in favor of Garrido, sponsored by the Asociación por los Derechos Civiles (ADC). This solidified the fact that being in certain positions of employment does not limit your ability to make information requests.",Public Officials,Spanish
La corte bonaerense obliga a informar los días sin clases de alumnos secundarios,http://www.adc.org.ar/la-corte-bonaerense-obliga-a-informar-los-dias-sin-clases-de-alumnos-secundarios/,"Como un resultado de los esfuerzos de Asociación por los Derechos Civiles (ADC) comenzados en 2007, la Corte Suprema ordenó que el Director General de Cultura y Educación de la Provincia de Buenos Aires publique la información sobre cuántos días no hay clases a causa de la ausencia de maestros, principalmente en 36 escuelas. El Director General tiene 15 días para responder. La solicitud es otro ejemplo como las leyes por la libertad de la información le dan herramientas a ciudadanos para evaluar como impuestos están usados, especialmente relacionado con el bienestar de ellos y sus hijos. ",Educación ,Español,Courts order release of information on teacher absenteeism,http://www.adc.org.ar/la-corte-bonaerense-obliga-a-informar-los-dias-sin-clases-de-alumnos-secundarios/,"As a result of the efforts of the Asociación por los Derechos Civiles (ADC) beginning in 2007, the Supreme Court ordered the Director General of Culture and Education of the Province of Buenos Aires to release information on the amount of days no classes are taught due to the absence of teachers, specifically in 36 schools. The Director General has 15 days to respond. The request serves as yet another example of how freedom of information laws give citizens tools to evaluate how tax dollars are being spent, especially when it comes to their welfare and that of their children.",Education ,Spanish
