Titulo,Enlace,Resumen,Temas,Idioma,Title,URL,Summary,Tags,Language
"El derecho de acceso a la información en Argentina, un mapa",http://blogs.lanacion.com.ar/data/acceso-a-la-informacion-2/el-derecho-de-acceso-a-la-informacion-en-argentina-un-mapa/,"Aunque no es una solicitud de información, el sitio cita las leyes de libertad de información de Argentina a nivel nacional, provincial, y local. Lo siguiente sirve como un recurso útil para gente interesada en como leyes son diferentes en jurisdicción y pueden ayudar en la creación de leyes de gran alcance y nivel. ",Paticipación Ciudadana,Español,The right to access to information in Argentina: a roadmap,http://blogs.lanacion.com.ar/data/acceso-a-la-informacion-2/el-derecho-de-acceso-a-la-informacion-en-argentina-un-mapa/,"Although not a FOI request, this site lists Argentina's national, provincial, and local FOI laws. The following serves as a useful resource for those interested in how laws vary from jurisdiction to jurisdiction and can aid in the creation of top-level, wider-reaching laws on the subject.",Citizen Engagement,Spanish
El Gobierno volvió a negarse a informar el dato oficial de pobreza,http://www.lanacion.com.ar/1834023-el-gobierno-volvio-a-negarse-a-informar-el-dato-oficial-de-pobreza,"Este artículo se enfoca sobre el rechazo del gobierno argentino a proporcionar datos oficiales sobre tasas de pobreza. El último índice oficial de la pobreza fue publicada en 2013, pero fue discontinuada debido a los problemas sobre su metodología que determina los niveles de pobreza. Aunque el Instituto Nacional de Estadística y Censos (INDEC) declaró que hay casi 6000 maneras de calcular la pobreza, nada fue publicado sobre cómo esto puede ser hecho. Cuando Axel Kicillof, el Ministro de Economía y Finanzas Públicas en Argentina, se pidió porque los datos no fueron publicados, él no abordó el problema pero respondió evasivamente. Tal como, el silencio plantea preguntas sobre como ciudadanos pueden seguir participando en conciencia y acción sobre mejorar el nivel de vida para todos cuando la información sobre su método es ocultada del público. ","Finanzas y Economía, Salud Pública",Español,The government continues to turn its back on providing official data on poverty,http://www.lanacion.com.ar/1834023-el-gobierno-volvio-a-negarse-a-informar-el-dato-oficial-de-pobreza,"This article describe's the Argentine government's refusal to provide official data on poverty rates. The last official index on poverty was published in 2013, but was discontinued due to problems with how its methodology determined levels of poverty. Although Argentina's National Statistics and Censuses Institute (INDEC) stated that there are about 6000 ways to calculate poverty, nothing was ever published regarding how this could be done. When Axel Kicillof, Argentina's Minister of Economy, was asked to explain why the data was not published, he didn't address the issue, but rather answered evasively. As such, the silence raises questions on how citizens can remain engaged in awareness and action around improving the standard of living for everyone when information on its metric is kept hidden from the public.","Finance and Economy, Public Health",Spanish
Los planes sociales no deben ser un secreto,http://www.lanacion.com.ar/1686931-los-planes-sociales-no-deben-ser-un-secreto,"Este artículo se enfoca en situaciones en cual el gobierno negó solicitudes de información que el Centro de Implementación de Políticas Públicas para la Equidad y el Crecimiento (CIPPEC) pidió, principalmente pidiendo una lista de nombres y números de identificación de destinatarios de planes sociales porque hay una violación de privacidad. El artículo critica la transparencia de Argentina y el acceso a leyes de información, como medios legales y actuales en adquirir información son rechazados a menudo, resultando en respuestas incompletas que citan privacidad y “información personal” como excusas. Estas anécdotas son indicativas de leyes llenas de vacíos y crean impulsos alrededor aumentar el poder de la legislación de información pública.  ",Datos Personales y Confidencialidad,Español,Social planning should not be kept secret,http://www.lanacion.com.ar/1686931-los-planes-sociales-no-deben-ser-un-secreto,"This article describes sitatuations in which the government denied requests for information that the Center for the Implementation of Public Policies Promoting Equity and Growth (CIPPEC) sent out, namely one that asked for a list of names and ID numbers of social plan recipients due to a violation of privacy. The article criticizes Argentina’s transparency and access to information laws, as current legal means in acquiring information are often rebuffed, resulting in incomplete responses with no justification or agencies citing privacy and “personal information” as excuses. These anecdotes are indicative of laws filled with loopholes and create momentum around bolstering the power of public information legislation.",Personal Information and Privacy,Spanish
Fragmentos de Luz: La Libertad de Información en Argentina,"http://www.economist.com/blogs/americasview/2014/03/freedom-information-argentina, http://blogs.lanacion.com.ar/data/acceso-a-la-informacion-2/informes-de-acij-y-adc-muestran-problemas-en-el-acceso-a-la-informacion-publica/, http://www.documentcloud.org/documents/705465-acij-acceso-a-la-informacion.html","El 26 de marzo en 2014, la Corte Suprema decidió que el gobierno debe liberar la información relacionada con los programas administrados por el ministerio de desarrollo social, incluyendo las listas de beneficiarios. Las solicitudes por esta información han sido rechazadas porque tal información afecta grupos vulnerables. El centro de Implementación de Políticas Públicas para la Equidad y el Crecimiento (CIPPEC), un grupo argentino de estudios, tuvo su solicitud de 2007 rechazada. Cuando CIPPEC pidió información financiera similar de 14 empresas estatales, solamente tres mando más de medio de la información pedida. En una acción similar, la Asociación por los Derechos Civiles (ADC) hizo 49 solicitudes a varios departamentos gubernamentales, cuales 47% fueron respondidas satisfactoriamente. La Asociación Civil por la Igualdad y la Justicia (ACIJ) pretendió investigar el poder del decreto ejecutivo y presentó 44 solicitudes de información entre enero de 2012 y 2013: 14 no fueron respondidas, 14 fueron respondidas después de 10 días, y 16 fueron respondidas a tiempo. Sobre la calidad de las respuestas, solamente 12 fueron respondidas completamente y adecuadamente como es declarado en el decreto. Los reportajes sobre las respuestas insuficientes a las solicitudes de información son rampantes y quizás hacen el caso para consecuencias más fuerte en el caso de respuestas inferiores.  ","Salud Pública, Funcionarios Públicos","Inglés, Español",Shards of light: Freedom of information in Argentina,"http://www.economist.com/blogs/americasview/2014/03/freedom-information-argentina, http://blogs.lanacion.com.ar/data/acceso-a-la-informacion-2/informes-de-acij-y-adc-muestran-problemas-en-el-acceso-a-la-informacion-publica/, http://www.documentcloud.org/documents/705465-acij-acceso-a-la-informacion.html","On March 26, 2014, the Supreme Court ruled that the government must release information related to the programs administered by the ministry of social development, including lists of beneficiaries. Requests for this information have been previously rejected on the grounds that such information affects vulnerable groups. The Center for the Implementation of Public Policies Promoting Equity and Growth (CIPPEC), an Argentine think tank, had its 2007 request for this information denied. When CIPPEC requested finanicial information in the same vein from 14 state-run companies, only three sent more than half of the requested data. In a similar move, the Asociación por los Derechos Civiles (ADC) sent 49 requests to various government departments, oh which only 47% were answered satisfactorily. The Asociación Civil por la Igualdad y la Justicia (ACIJ) sought to investigate the Executive Decree's power and submitted 44 requests of info between January 2012 and 2013: 14 were not answered, 14 were answered after 10 days, and 16 were answered on time. Regarding the quality of answers, only 12 answered completely and adequately as stated in the Decree. Reports of insufficient responses to information requests are rampant, and perhaps make the case for stronger consequences in the case of shoddy replies.","Public Health, Public Officials","English, Spanish"
Los datos personales y los contratos de televisión: financiados con fondos públicos,"http://acij.org.ar/sin-corrupcion/2012/acceso-a-la-informacion-publica-adc-presenta-un-amparo-contra-la-jefatura-de-gabinete/, http://www.adc.org.ar/1008_ordenan-al-estado-entregar-contratos-de-la-tv-publica/","La Asociación por los Derechos Civiles (ADC) demandó acceso a contratos con la productora “Pensado para Televisión.” En diciembre de 2012, una periodista Mariel Fitz Patrick le pregunto a la Jefatura de Gabinete de Ministros por una copia de los contratos de 2010, 2011, y 2012 entre la productora y Radio y Televisión Argentina SE, la empresa pública que administra los medios estatales y nacionales, y fue rechazada. La Jefatura respondió que ella tendrá que demostrar un interés legítimo para tener acceso. Además, el acceso a los contratos fue rechazado porque tenían “información sensible.” La situación es indicativa de los vacíos en el proceso de respuestas a solicitudes, alrededor la privacidad supuesta de cierta información incluso cuando involucra la financiación pública, y el interés en el resultado de la solicitud, que en muchos casos no se limitan al individual.  ","Datos Personales y Confidencialidad, Empresas Públicas",Español,Sensitive information and TV contracts: what's being publicly funded,"http://acij.org.ar/sin-corrupcion/2012/acceso-a-la-informacion-publica-adc-presenta-un-amparo-contra-la-jefatura-de-gabinete/, http://www.adc.org.ar/1008_ordenan-al-estado-entregar-contratos-de-la-tv-publica/","The Asociación por los Derechos Civiles (ADC) demanded access to contracts with the production company “Pensado para Televisión” (Thinking for TV). In December 2012, journalist Mariel Fitz Patrick asked the Chief of the Cabinet of Ministers for a copy of the 2010, 2011, and 2012 contracts between this production company and Radio y Televisión Argentina SE, the public entreprise that manages the national/state media, and was turned away. The Chief responded that she would have to demonstrate a legitimate interest to have access. Furthermore, access was denied to the contracts as they included ""sensitive information."" The situation is indicative of loopholes in the procedure for responding to requests, both around the supposed privacy of certain information even when it involves public funding, and interest in the outcome of the request, which in many cases extends beyond the individual.","Personal Information and Privacy, State Enterprise",Spanish
Pedido de información por la tragedia de ferrocarril en 2012,"http://acij.org.ar/sin-corrupcion/2012/pedido-de-informacion-por-la-tragedia-en-once-la-respuesta-de-adif/, http://acij.org.ar/sin-corrupcion/2012/la-respuesta-de-la-cnrt/","En agosto de 2012, la Asociación Civil por la Igualdad y la Justicia (ACIJ) hizo una solicitud para acceder información de la Comisión Nacional de Regulación de Transporte (CNRT), del Administrador de Infraestructuras Ferroviarias (ADIF), y del Secretario de Transportes para aprender más sobre las funciones y las responsabilidades de estas organizaciones, siguiendo el accidente ferroviario en Sarmiento el 22 de febrero de 2012. ADIF respondió a la solicitud de ACIJ diciendo que no tiene la jurisdicción sobre la línea ferroviaria en cuestión. CNRT respondió que la solicitud de ACIJ sobre las responsabilidades de transportación con un reporte detallando sanciones económicas y tarifas de CNRT a TBA, un concesionario relacionado con las líneas Sarmiento y Mitre. En respuesta a la pregunta de ACIJ, “CNRT tuvo cualquier reportaje sobre los riesgos de TBA y la manera que corría su servicio?”, CNRT declaró que la agencia se limitaba a inspecciones, reportajes, y multas, pero no mandó cualquier reportaje demostrando si este era el caso. Entonces, ACIJ mandó una solicitud nueva de información para verificar la respuesta que fue proporcionada. Las solicitudes demuestran las maneras en cual revelaciones de leyes de libertad de información pueden informar mejor resultados de seguridad pública.","Empresas Públicas, Seguridad Pública",Español,Investigations into the railroad tragedy of 2012,"http://acij.org.ar/sin-corrupcion/2012/pedido-de-informacion-por-la-tragedia-en-once-la-respuesta-de-adif/, http://acij.org.ar/sin-corrupcion/2012/la-respuesta-de-la-cnrt/","In August 2012, the Asociación Civil por la Igualdad y la Justicia (ACIJ) made a request to access information from the National Commission for Transport Regulation (CNRT), the Railway Infrastructure Administration (ADIF), and the Secretary of Transportation in order to learn more about the functions and responsibilities of these organizations following the Sarmiento railroad accident on February 22, 2012. ADIF responded to ACIJ's request by saying that it does not have jurisdiction over the railway line in question. CNRT responded to ACIJ’s request on transportation responsibilities with a report detailing numerous economic sanctions and fees from CNRT to TBA, a dealership/concessionaire related to the Sarmiento and Mitre lines. In response to ACIJ’s question, “Did CNRT have any report on the risks that TBA and the way it ran its service?”, CNRT stated that the agency limited itself to inspections, reports, and penalties, but did not send any report proving this to be the case. Thus, ACIJ sent a new request for information to verify the response that was provided. The requests are demostrative of the ways in which revelations from freedom of information laws can help better inform public safety outcomes.","State Enterprise, Public Safety",Spanish
¿Porque no existe un un registro de los regalos a los funcionarios públicos?,"http://acij.org.ar/sin-corrupcion/2012/clarin-escribe-sobre-nuestro-pedido-de-informacion/, http://acij.org.ar/sin-corrupcion/2012/respuesta-de-la-oa-acerca-de-la-reglamentacion-de-obsequios/","La Asociación Civil por la Igualdad y la Justicia (ACIJ) y el Centro de Investigación y Prevención de la Criminalidad Económica (CIPCE) pidieron información de la Oficina Anticorrupción (OA) sobre la regulaciones de regalos a funcionarios públicos. CIPCE y ACIJ preguntaron OA información sobre a) si o no un mecanismo de Registro de Regalos y Beneficios a Funcionarios Públicos ha sido implementada? b) si no, cuáles razones prohibieron la implementación? y c) desde cuando hasta que un mecanismo será implementada? OA respondió el 28 de noviembre y no dio razones específicas por la ausencia de un mecanismo y un calendario de proyecto.  El director de Planificación de Políticas de Transparencia de la OA no respondió a la mayoría de preguntas de las ONGs. Específicamente, no hubo una respuesta porque el Artículo 18, en relación con ética pública, no esta aplicada a regalas. Artículo 18, la ley de ética pública, tiene 12 años y todavía no hay un Registro de Regalos y Beneficios.","Funcionarios Públicos, Anticorrupción",Español,Why doesn't a registry for gifts to public officials exist?,"http://acij.org.ar/sin-corrupcion/2012/clarin-escribe-sobre-nuestro-pedido-de-informacion/, http://acij.org.ar/sin-corrupcion/2012/respuesta-de-la-oa-acerca-de-la-reglamentacion-de-obsequios/","ACIJ and CIPCE (Centro de Investigación y Prevención de la Criminalidad Económica) asked for information from the Anticorruption Office (OA) regarding regulations on gifts to public officials. CIPCE and ACIJ asked the OA information regarding a) whether or not a mechanism from the Registry of Gifts and Benefits to Public Officials had been implemented b) ""if not, what where the reasons, and c) how long until some mechanism is implemented?"" OA responded on November 28 and gave no specific reasons for the absence of a mechanism and no timeline. The OA’s Director of Policy Planning on Transparency did not respond to most of the ONGs’ questions. Specifically, there was no response to why Article 18, dealing with public ethics, is not applied to gifts. Article 18, Ethics Law of Public Administration, is 12 years old and there is still no Registry of Gifts and Benefits.","Public Officials, Anti-Corruption",Spanish
El gobierno debe contestar los pedidos de información por orden de la justicia,http://acij.org.ar/sin-corrupcion/2012/el-gobierno-porteno-debe-contestar-los-pedidos-de-informacion-por-orden-de-la-justicia/,"En junio de 2012, la Asociación por los Derechos Civiles (ADC) pidió información del gobierno municipal de Buenos Aires sobre el gasto de propaganda pública en 2011, pero no recibió ninguna respuesta. ADC aboga por una ley con criterios claros, control, y transparencia sobre la publicidad oficial. Un caso judicial estaba fijada por el 22 de noviembre con ADC contra el gobierno de Buenos Aires donde ADC destacó la necesidad por una ley de libertad de información más fuerte.",Finanzas y Economía,Español,The government has to answer to information requests under judicial orders,http://acij.org.ar/sin-corrupcion/2012/el-gobierno-porteno-debe-contestar-los-pedidos-de-informacion-por-orden-de-la-justicia/,"In June 2012, the Asociación por los Derechos Civiles (ADC) asked for information from the Buenos Aires city government regarding public propaganda expenses in 2011, but received no reply. ADC advocates for a law establishing clear criteria, control, and transparency regarding official advertising. A court case was scheduled for November 22 pitting ADC against the Buenos Aires government where ADC emphasized the need for a stronger FOI law.",Finance and Economy,Spanish
El poder ejecutivo presenta problemas para las normas del aceso a la información,http://acij.org.ar/sin-corrupcion/2012/el-poder-ejecutivo-incumple-con-las-normas-de-acceso-a-la-informacion/,"Este artículo incluye un resumen de solicitudes hechas por la Asociación Civil por la Igualdad y la Justicia (ACIJ) en 2012: 1) La primera series era acera el accidente ferroviario en febrero. ACIJ pidió información de la Comisión Nacional de Regulación de Transporte (CNRT), la Secretaría de Transportes, Metrovías S.A., Ferrovías S.A.C., y la Administración de Infraestructuras Ferroviarias. Metrovías no has respondido, ni la Secretaría de Transportes, a pesar de pedir una extensión de 10 días. 2) ACIJ pidió información sobre el vicepresidente y la gestión de la empresa Sudamericana, anteriormente Ciccone, y recibió una respuesta de la Administración Federal de Ingresos Públicos (AFIP). 3) ACIJ recibió ninguna respuesta del Ministerio del Interior y Transporte ni del Ministerio de Planificación Federal sobre las irregularidades en la administración y la supervisión del SUBE.","Seguridad Pública, Funcionarios Públicos, Anticorrupción",Español,Executive power challenges standards for access to information,http://acij.org.ar/sin-corrupcion/2012/el-poder-ejecutivo-incumple-con-las-normas-de-acceso-a-la-informacion/,"This article includes a summary of requests made by the Asociación Civil por la Igualdad y la Justicia (ACIJ) in 2012: 1) The first series of requests dealt with the February rail accident. ACIJ asked for information from the National Commission for Transport Regulation (CNRT), the Secretary of Transportation, Metrovías S.A., Ferrovías S.A.C., and Railways Infrastructure Administration. Metrovias has not responded, and nor has the Secretary of Transportation, despite asking for a 10 day extension. 2) ACIJ asked for information regarding the vice president and his management of the company Sudamericana, formerly Ciccone, and received a response from the Federal Administration of Public Revenues (AFIP). 3) ACIJ received no response from the Ministry of Transportation or the Ministry of Federal Planning regarding irregularities in the administration and supervision of the SUBE transportation card.","Public Safety, Public Officials, Anti-Corruption",Spanish
El aceso a la información: solicitudes sin repuestas,http://blogs.lanacion.com.ar/data/acceso-a-la-informacion-2/acceso-a-la-informacion-pedidos-sin-respuesta-y-algunas-curiosidades/,"El equipo de datos de La Nación pidió por una copia física del sueldo presidencial el 7 de febrero de 2013. En enero de 2014, ellos pidieron por los sueldos de los oficiales primarios del Poder Ejecutivo; que debían ser proporcionados tras la solicitud. La copia física nunca fue realizada con éxito. En diciembre de 2012, el equipo pidió información sobre los viajes de Guillermo Moreno, el Secretario de Comercio Interior de 2005 a 2013. La solicitud se dejó sola sin una respuesta por 762 días. En 2013, el equipo pidió información sobre una resolución relativa de la La Autoridad de Cuenca Matanza Riachuelo (ACUMAR): número 1173/2012. El 6 de septiembre de 2013, Oscar Deina, el Director Ejecutivo de ACUMAR, dijo que la ley no fue regulada por la agencia. 293 días después, la agencia mandó el texto de la resolución. Enlaces y documentos a las solicitudes fueron disponibles en el artículo.","Finanzas y Economía, Funcionarios Públicos",Español,Access to information: requests without responses,http://blogs.lanacion.com.ar/data/acceso-a-la-informacion-2/acceso-a-la-informacion-pedidos-sin-respuesta-y-algunas-curiosidades/,"The La Nacion Data team asked for a physical copy of the President's salary on February 7, 2013. In January 2014, they asked for the salaries of the primary officials in the Executive Branch, which was supposed to be provided to them following the request. The physical copy was never successfully relayed to them. In December 2012, the team asked for information regarding the travels of Guillermo Moreno, the Secretary of Domestic Trade from 2005 to 2013. The request was left for 762 days without a response. In 2013, the team requested information regarding a specific resolution of ACUMAR's (a regional government agency): number 1173/2012. On September 6, 2013, Oscar Deina, Chief Executive of ACUMAR, said that the law was not regulated by the agency. 293 days later, the agency sent the text of the resolution. Links and documents to these requests are available in the article.","Finance and Economy, Public Officials",Spanish
La brecha de implementación del aceso a la información en Argentina,http://www.cipe.org/publications/detail/implementation-gap-access-information-argentina,"Es un reportaje sobre las solicitudes de información pública del Centro de Implementación de Políticas Públicas para la Equidad y el Crecimiento (CIPPEC) a 14 empresas estatales o empresas públicas (con 10% o más propiedad estatal) entre junio y julio de 2013. Ambos, estas 14 empresas representan 85% del presupuesto nacional asignado a empresas públicas. 9 empresas respondieron a las solicitudes y 5 no respondieron. 4 mandaron 10% o menos de la información pedida; 2 mandaron 25%; 3 mandaron ~65%. Las empresas que no respondieron adecuadamente porque “(i) la protección de secreto comercial; (ii) [estar] fuera del sector público nacional, entonces ellos no están afectados por el decreto 1172/2003; (iii) la información pedida exige el concepto de información en el decreto; (iv) la información es confidencial, […] (v) las balanzas comerciales de los últimos tres años no fueron aprobadas, entonces es imposible mandar información sobre los estados financieros.” Estas solicitudes cuestionan el problema de la privacidad como un vacío en leyes de información pública y subrayan la necesidad por una legislación más estricta.","Finanzas y Economía, Datos Personales y Confidencialidad, Empresas Públicas",Inglés,The implementation gap on access to information in Argentina,http://www.cipe.org/publications/detail/implementation-gap-access-information-argentina,"This is a report regarding the Center for the Implementation of Public Policies Promoting Equity and Growth's (CIPPEC) public info requests to 14 state-run companies or public entreprises (with 10% or more state ownership) between June & July 2013. Together, these 14 public entreprises represent 85% of the national budget allocated to government funded companies. Nine enterprises answered the access requests and five did not. Four sent 10% or less of the requested information; two sent 25%; three sent ~65%. Companies did answer satisfactory due to ""(i) the protection of commercial secrecy; (ii) [being] outside the orbit of the national public sector, so they are not affected by Decree 1172/2003; (iii) the requested information exceeded the concept of information set in the Decree; (iv) the information is confidential, [...] (v) trade balances of the last three years were not approved, so it was impossible to send information about the financial statements."" These requests challenge the issue of privacy as a loophole in public information law and highlight the need for stricter legislation.","Finance and Economy, Personal Information and Privacy, State Enterprise",English
Solicitudes de información de los directores del Banco Nación ,http://acij.org.ar/blog/2015/08/20/solicitud-de-informacion-sobre-directoresas-del-banco-nacion/,"La Asociación Civil por la Igualdad y la Justicia (ACIJ) pidió información sobre las condiciones para hacerse director del Banco Nacional. Por ejemplo, ellos pidieron por una copia de la Maestría en Economía del director actual. Ha sido más que 10 días, la cantidad de tiempo para recibir una respuesta. Las solicitudes de información pueden ser útiles en determinar si funcionarios públicos son cualificados para su posiciones, sacando actores corruptos del gobierno.        ",Funcionarios Públicos,Español,Requests for information on Banco Nación directors,http://acij.org.ar/blog/2015/08/20/solicitud-de-informacion-sobre-directoresas-del-banco-nacion/,"The Asociación Civil por la Igualdad y la Justicia (ACIJ) requested information on the requisites for becoming a director of the National Bank. For example, they asked for the copy of the current director's Masters Degree in Economics. It has been over 10 days, the amount of time allowed for a response under Decree 1172/03. They are currently still waiting for a response. Information requests can be useful in determining if public officials are qualified in their postions, rooting out potentially corrupt actors in the government.",Public Officials,Spanish
Los desafíos en acesando a la información sobre la educación de las personas con discapacidad.,http://acij.org.ar/blog/2015/06/04/demandan-al-estado-por-no-producir-informacion-sobre-la-situacion-educativa-de-las-personas-con-discapacidad/,"Para obtener información sobre la situación educativa de personas con discapacidad, el 29 de mayo en 2015, la Asociación Civil por la Igualdad y la Justicia (ACIJ) presentó una solicitud para acceder información. El estado respondió a la solicitud indicando que no hay datos disponibles sobre la trayectoria educativa de personas con discapacidad. La incapacidad del estado en proporcionar información no está en línea con Artículo 24 sobre los Derechos de Personas con Discapacidades. ACIJ, junto con la Asociación por los Derechos Civiles (ADC), la Asociación Síndrome de Down de la República Argentina (ASDRA) y la Red por los Derechos de las Personas con Discapacidad (REDI), decidieron tomar el caso a corte para demandar que el Ministerio de Educación proporcione la información. Estas acciones aseguran la verificación ciudadana en ofrecer servicios como la educación.",Educación,Español,Challenges in accessing information on education for people with disabilities,http://acij.org.ar/blog/2015/06/04/demandan-al-estado-por-no-producir-informacion-sobre-la-situacion-educativa-de-las-personas-con-discapacidad/,"In order to obtain information about the educational situation of people with disabilities, on May 29, 2015, the Asociación Civil por la Igualdad y la Justicia (ACIJ) submitted an access to information request. The state responded to the request indicating that there was no available data about the educational trajectory of people with disabilities. The state's inability to produce information does not line up with Article 24 over the Rights of Disabled People. ACIJ, together with the Asociación por los Derechos Civiles (ADC), la Asociación Síndrome de Down de la República Argentina (ASDRA) and la Red por los Derechos de las Personas con Discapacidad (REDI), decided to take the case to court in order to require the Ministry of Education to produce the information. Such actions ensure citizen-led checking of government provided services such as education.",Education,Spanish
La transparencia y un análisis de los programas de salud mental con un enfoque en los derechos,http://acij.org.ar/blog/2015/09/10/informe-transparencia-y-analisis-presupuestario-de-las-politicas-de-salud-mental-con-enfoque-de-derechos-by-asociacion-civil-por-la-igualdad-y-la-justicia/,La Dirección de Salud Mental no respondió a las solicitudes de información por parte de la Asociación Civil por la Igualdad y la Justicia (ACIJ). ACIJ hizo varias solicitudes sobre diferentes aspectos de la programación de salud mental en varios hospitales y centros de salud. Estas solicitudes también no fueron respondidas.  ,Salud Pública,Español,Transparency and budget analysis of mental health programming with a focus on rights,http://acij.org.ar/blog/2015/09/10/informe-transparencia-y-analisis-presupuestario-de-las-politicas-de-salud-mental-con-enfoque-de-derechos-by-asociacion-civil-por-la-igualdad-y-la-justicia/,The National Direction of Mental Health did not respond to the Asociación Civil por la Igualdad y la Justicia's (ACIJ) requests for information. ACIJ made numerous requests on different aspects of mental health programming in several hospitals and health centers. These requests were also not answered.,Public Health,Spanish
La información pública sobre el uso de la anestesia epidural,http://www.adc.org.ar/publicaciones/download-category/pub-acceso-a-la-informacion/,"Desde 2014, ADC ha pedido acceso de información sobre el uso de calmantes epidural durante el alumbramiento en hospitales en Buenos Aires. Ellos preguntaron 12 hospitales en 2014 y 2015, con la mayoría de hospitales respondiendo a la solicitud.",Salud Pública,Español,Public information on the use of epidural pain killers,http://www.adc.org.ar/publicaciones/download-category/pub-acceso-a-la-informacion/,"Since 2014 ,the Asociación por los Derechos Civiles (ADC) has asked for information access regarding the use of epidural painkillers when giving birth in hospitals of Buenos Aires. They asked 12 hopsitals in 2014 and 2015, with most hospitals responding to the request.",Public Health,Spanish
¿Cuanto pagó el estado para los abogados que los representáron en la Haya?,http://www.adc.org.ar/425_cuanto-pago-el-estado-por-los-abogados-que-lo-representan-ante-la-haya-por-el-conflicto-de-botnia/,"En noviembre de 2007, el periodista de Clarín Pablo Abiad, apoyado por la Asociación por los Derechos Civiles (ADC), demandó información sobre cuánto el estado paga los abogados en la Corte Internacional de Justicia (CIJ) sobre la disputa de pasta de papel del río Uruguay. La información fue publicada en cuanto Clarín anunció un artículo el 4 de noviembre titulado “Honorarios en La Haya, Un Secreto del Estado.” El siguiente día, el Ministerio de Asuntos Exteriores emitió la Resolución 2363, que declaró que proporcionar la información pedida no pone en peligro la posición argentina en CIJ.           ",Finanzas y Economía,Español,How much did the state pay for the lawyers that represented them at the Hague for the Botnia conflict?,http://www.adc.org.ar/425_cuanto-pago-el-estado-por-los-abogados-que-lo-representan-ante-la-haya-por-el-conflicto-de-botnia/,"In November 2007, Clarin journalist Pablo Abiad, sponsored by the Asociación por los Derechos Civiles (ADC), demanded information regarding the how much the state paid lawyers in the International Court of Justice (ICJ) regarding the Uruguay River pulp mill dispute. The information was released once Clarin released an article on November 4 titled ""Fees in the Hague, a State Secret"" The following day, the Foreign Ministry issued Resolution 2363, which stated that providing the requested information does not jeopardize Argentina's position before the ICJ.",Finance and Economy,Spanish
